"Address","Price"
"Katarina Bangata, 11639 Stockholm, Sweden","$ 112 CA"
"Brännkyrkagatan, 11820 STOCKHOLM, Sweden","$ 142 CA"
"Rusthållarvägen, 12844 Stockholm, Sweden","$ 89 CA"
"Tjärhovsgatan, 11628 Stockholm, Sweden","$ 124 CA"
"Dalagatan, 11324 Stockholm, Sweden","$ 152 CA"
"Britas gränd, 14144 Huddinge, Sweden","$ 80 CA"
"Samaritgränd, 11853 Stockholm, Sweden","$ 177 CA"
"Tengdahlsgatan, 11641 Stockholm, Sweden","$ 142 CA"
"timsforsvägen, 12247 enskede, Sweden","$ 215 CA"
"Skulptörvägen, 12143 Stockholm, Sweden","$ 132 CA"
"Dialoggatan, 12626 Stockholm, Sweden","$ 116 CA"
"Kungstensgatan, 113 59 Stockholm, Sweden","$ 171 CA"
"Rehnsgatan, 11357 Stockholm, Sweden","$ 125 CA"
"Holländargatan, 11359 Stockholm, Sweden","$ 121 CA"
"Gambrinusgatan, 11231 Stockholm, Sweden","$ 233 CA"
"STORHOLMSVÄGEN, 18130 Stockholm, Sweden","$ 204 CA"
"Norrtullsgatan, 11345 Stockholm, Sweden","$ 240 CA"
"Blomstigen, 18141 Stockholm, Sweden","$ 115 CA"
"Ljungvägen, 13140 Nacka, Sweden","$ 98 CA"
"Ljungvägen, 13140 Nacka, Sweden","$ 97 CA"
"Nybrogatan, 11441 Stockholm, Sweden","$ 89 CA"
"Noragårdsvägen, 182 34 Stockholm, Sweden","$ 97 CA"
"Mjölnerbacken, 174 48 SUNDBYBERG, Sweden","$ 72 CA"
"Nybrogatan, 11441 Stockholm, Sweden","$ 89 CA"
"Karlbergs Strand, 17173 Solna Stockholm, Sweden","$ 90 CA"
"Saltsjöbadsvägen, 13150 Stockholm, Sweden","$ 161 CA"
"Hövdingagatan, 12652 Stockholm, Sweden","$ 98 CA"
"Parkgatan, 11230 Stockholm, Sweden","$ 177 CA"
"Åsögatan, 11632 Stockholm, Sweden","$ 206 CA"
"Fatburs Brunnsgata, 11828 STOCKHOLM, Sweden","$ 115 CA"
"Årstaängsvägen, 117 43 Stockholm, Sweden","$ 189 CA"
"Docentbacken, 11418 Stockholm, Sweden","$ 96 CA"
"Tegelbruksvägen, 12632 hägersten, Sweden","$ 143 CA"
"Junivägen, 12352 Stockholm, Sweden","$ 120 CA"
"Tingstadens Gård, 17996 Stockholm, Sweden","$ 75 CA"
"Lärjungevägen, 13669 Vendelsö, Sweden","$ 97 CA"
"Torphagsvägen, 11418 Stockholm, Sweden","$ 139 CA"
"Garvargatan, 11221 Stockholm, Sweden","$ 215 CA"
